state_code,issuer_name,hios_issuer_ids,plan_county_rows
FL,22 Health,13887,5
FL,Ambetter Health,49004 86382,1274
FL,AmeriHealth Caritas Next,67926,56
FL,AvMed,19898,293
FL,Capital Health Plan,66966,72
FL,"Cigna HealthCare of Florida, Inc.",79850,30
FL,Cigna Healthcare,48121,98
FL,Florida Blue (BlueCross BlueShield FL),16842,1717
FL,Florida Blue HMO (a BlueCross BlueShield FL company),30252,2059
FL,Florida Health Care Plans,56503,115
FL,"Health First Commercial Plans, Inc.",36194,82
FL,Molina Healthcare,54172,384
FL,Oscar Health Maintenance Organization of Florida,21525,528
FL,UnitedHealthcare,68398,544
FL,Wellpoint,44228,312
