state_code,issuer_name,hios_issuer_ids,plan_county_rows
TX,Ambetter from Superior HealthPlan,29418 87226,1860
TX,Baylor Scott and White Health Plan,40788,960
TX,Blue Cross and Blue Shield of Texas,33602,4625
TX,CHRISTUS Health Plan,66252,566
TX,Cigna Healthcare,76589,121
TX,Community First,63251,4
TX,Community Health Choice,11718 27248,131
TX,Harbor Health,37758,12
TX,"Imperial Insurance Companies, Inc.",34826,91
TX,"Moda Health Plan, Inc.",17933,15
TX,Molina Healthcare,45786,156
TX,Oscar Insurance Company,20069,718
TX,"Sendero Health Plans, Local Nonprofit",71837,56
TX,UnitedHealthcare,40220 70754,3068
TX,WellPoint,47501,630
