state_code,issuer_name,hios_issuer_ids,plan_county_rows
AK,"Moda Health Plan, Inc.",73836,91
AK,Premera Blue Cross Blue Shield of Alaska,38344,240
AL,Ambetter of Alabama,53932,720
AL,Blue Cross and Blue Shield of Alabama,46944,818
AL,Oscar Insurance Company,17091,45
AL,UnitedHealthcare,69461,728
AR,Ambetter from Arkansas Health & Wellness,37903 62141 70525,2325
AR,Arkansas Blue Cross and Blue Shield,75293,525
AR,Health Advantage,13262,600
AR,Octave,48772,450
AZ,Ambetter from Arizona Complete Health,91450,144
AZ,"Antidote Health Plan of Arizona, Inc.",68445,48
AZ,Blue Cross Blue Shield of Arizona,53901,142
AZ,"Cigna HealthCare of Arizona, Inc",97667,24
AZ,"Imperial Insurance Companies, Inc.",85533,50
AZ,"Oscar Health Plan, Inc.",13877,68
AZ,UnitedHealthcare,40702,98
DE,Ambetter Health of Delaware,64004,51
DE,AmeriHealth Caritas Next,72760,24
DE,Highmark Blue Cross Blue Shield Delaware,76168,45
FL,22 Health,13887,5
FL,Ambetter Health,49004 86382,1274
FL,AmeriHealth Caritas Next,67926,56
FL,AvMed,19898,293
FL,Capital Health Plan,66966,72
FL,"Cigna HealthCare of Florida, Inc.",79850,30
FL,Cigna Healthcare,48121,98
FL,Florida Blue (BlueCross BlueShield FL),16842,1717
FL,Florida Blue HMO (a BlueCross BlueShield FL company),30252,2059
FL,Florida Health Care Plans,56503,115
FL,"Health First Commercial Plans, Inc.",36194,82
FL,Molina Healthcare,54172,384
FL,Oscar Health Maintenance Organization of Florida,21525,528
FL,UnitedHealthcare,68398,544
FL,Wellpoint,44228,312
HI,HMSA,18350,35
HI,Kaiser Permanente,60612,50
IA,Ambetter Health,48286,928
IA,Avera Health Plans,74980,84
IA,Medica,93078,993
IA,Oscar Insurance Company,45819,1020
IA,UnitedHealthcare,56610,204
IA,"Wellmark Health Plan of Iowa, Inc.",25896,762
IN,Ambetter Health,35065,920
IN,Anthem Blue Cross and Blue Shield,17575,1275
IN,CareSource,54192,2024
IN,Cigna Healthcare,94419,135
IN,UnitedHealthcare,72850,75
KS,Ambetter from Sunflower Health Plan,34368,1456
KS,Blue Cross and Blue Shield of Kansas City,94248,18
KS,"Blue Cross and Blue Shield of Kansas, Inc.",18558,927
KS,Medica,39520,36
KS,Oscar Insurance Company,43490,96
KS,UnitedHealthcare,94968,525
LA,Ambetter from Louisiana Healthcare Connections,90787,352
LA,AmeriHealth Caritas Next,38246,32
LA,Blue Cross and Blue Shield of Louisiana,97176,512
LA,CHRISTUS Health Plan,98780,108
LA,HMO Louisiana,19636,590
LA,UnitedHealthcare,69842,624
MI,Ambetter from Meridian,58594,270
MI,Blue Care Network of Michigan,98185,924
MI,Blue Cross Blue Shield of Michigan Mutual Insurance Company,15560,732
MI,McLaren Health Plan Community,74917,540
MI,Oscar Insurance Company,77739,32
MI,Priority Health,29698,729
MI,UnitedHealthcare,71667,156
MO,Ambetter Health,99723,1744
MO,Anthem Blue Cross and Blue Shield,32753,850
MO,Blue Cross and Blue Shield of Kansas City,34762,159
MO,Cox HealthPlans,96384,35
MO,Medica,47840 53461,522
MO,Oscar Insurance Company,69512,165
MO,UnitedHealthcare,95426,1495
MS,Ambetter Health,90714,1148
MS,Cigna Healthcare,56766,410
MS,Molina Healthcare,79975,164
MS,"Oscar Health Plan, Inc.",20635,77
MS,UnitedHealthcare,97560,1035
MT,Blue Cross and Blue Shield of Montana,30751,659
MT,Mountain Health CO-OP,32225,684
